Period,Entity,Gl Code,Gl Description,Amount
2024,Mangalore,1.11E+11,S D WITH STAR DEN MEDIA,2500
2024,Mangalore,1.11E+11,S D WITH STAR DEN MEDIA,2500
2022,Mangalore,1.11E+11,S D WITH STAR DEN MEDIA,2500
2022,Mangalore,1.11E+11,S D WITH STAR DEN MEDIA,2500
2022,Mangalore,23200081180,TCS-E-COM FY 2021-22,13987.72
2022,Mangalore,23200081179,TCS-E-COM FY 2020-21,26299.77
2022,Mangalore,23200081177,TCS-E-COM FY 2019-20,180
2022,Mangalore,11760000003,INTEREST EXPENSE - IND AS 116,25880666
2022,Mangalore,11760000003,INTEREST EXPENSE - IND AS 116,25880666
2022,Mangalore,11760000003,INTEREST EXPENSE - IND AS 116,25880666
2022,Mangalore,11760000003,INTEREST EXPENSE - IND AS 116,25880666
2022,Mangalore,11760000002,DEPRECIATION - IND AS 116,18816039
2022,Mangalore,11760000000,DISCOUNTING INTEREST EXP INDAS,301999
2022,Mangalore,11760000000,DISCOUNTING INTEREST EXP INDAS,301999
2022,Mangalore,11760000000,DISCOUNTING INTEREST EXP INDAS,301999
2022,Mangalore,11760000000,DISCOUNTING INTEREST EXP INDAS,301999
2022,Mangalore,11750342209,MEAL RECOVERY-LL,14960.5
2022,Mangalore,11750342209,MEAL RECOVERY-LL,14960.5
2022,Bangalore,11750342209,MEAL RECOVERY-LL,14960.5
2022,Bangalore,11750342209,MEAL RECOVERY-LL,14960.5
2022,Bangalore,11750243825,PROFESSIONAL CHARGES-LL,443319
2022,Bangalore,11750243825,PROFESSIONAL CHARGES-LL,443319
2022,Bangalore,11750243825,PROFESSIONAL CHARGES-LL,443319
2022,Bangalore,11750243825,PROFESSIONAL CHARGES-LL,443319
2022,Bangalore,11750243824,POSTAGE&COURIER-LL,12956.68
2022,Bangalore,11750243824,POSTAGE&COURIER-LL,12956.68
2022,Bangalore,11750243824,POSTAGE&COURIER-LL,12956.68
2022,Bangalore,11750243824,POSTAGE&COURIER-LL,12956.68
2022,Hubli,11750243823,TELEPHONE EXPENSES-LL,7763.43
2022,Hubli,11750243822,PRINTING&STATIONARY-LL,27880.57
2022,Bangalore,11750243822,PRINTING&STATIONARY-LL,27880.57
2022,Bangalore,11750243822,PRINTING&STATIONARY-LL,27880.57
2022,Bangalore,11750243822,PRINTING&STATIONARY-LL,27880.57
2022,Bangalore,11750242105,ADMN CHARGES PF- HORTICULTURE,1977
2022,Bangalore,11750242105,ADMN CHARGES PF- HORTICULTURE,1977
2022,Bangalore,11750242105,ADMN CHARGES PF- HORTICULTURE,1977
2022,Bangalore,11750242105,ADMN CHARGES PF- HORTICULTURE,1977
2022,Bangalore,11750242104,CO'S CONT TO EDLI- HORTICULTUR,1970
2022,Bangalore,11750242104,CO'S CONT TO EDLI- HORTICULTUR,1970
2022,Bangalore,11750242104,CO'S CONT TO EDLI- HORTICULTUR,1970
2022,Bangalore,11750242104,CO'S CONT TO EDLI- HORTICULTUR,1970
2022,Bangalore,11750242103,CO'S CONT TO ESI- HORTICULTURE,15431
2022,Bangalore,11750242103,CO'S CONT TO ESI- HORTICULTURE,15431
2022,Bangalore,11750242103,CO'S CONT TO ESI- HORTICULTURE,15431
2022,Bangalore,11750242103,CO'S CONT TO ESI- HORTICULTURE,15431
2022,Bangalore,11750242102,CO'S CONT TO EPS- HORTICULTURE,14505
2022,Bangalore,11750242102,CO'S CONT TO EPS- HORTICULTURE,14505
2022,Bangalore,11750242102,CO'S CONT TO EPS- HORTICULTURE,14505
2022,Bangalore,11750242102,CO'S CONT TO EPS- HORTICULTURE,14505
2022,Bangalore,11750242101,CO'S CONT TO EPF- HORTICULTURE,32956
2022,Bangalore,11750242101,CO'S CONT TO EPF- HORTICULTURE,32956
2022,Bangalore,11750242101,CO'S CONT TO EPF- HORTICULTURE,32956
2022,Bangalore,11750242101,CO'S CONT TO EPF- HORTICULTURE,32956
